ano_agricola,dsc_safra_previsao,uf,produto,id_produto,dsc_levantamento,id_levantamento,area_plantada_mil_ha,producao_mil_t,producao_acucar_mil_t,producao_etanol_anidro_mil_l,producao_etanol_hidratado_mil_l,producao_etanol_total_mil_l,produtcao_atr_kg_t,produtividade_t_ha,etanol_mil_m3,regiao
2021/22,UNICA,ES,CANA DE ACUCAR,4238,4º LEV,4,46.5,2653.9,129.6,82179.0,31385.0,113564.0,125.9,57.07,113.56,Sudeste
2021/22,UNICA,GO,CANA DE ACUCAR,4238,4º LEV,4,962.9,71898.3,2297.5,1206631.0,3590325.0,4796956.0,147.6,74.67,4796.96,Centro-Oeste
2021/22,UNICA,MA,CANA DE ACUCAR,4238,4º LEV,4,28.6,2266.9,28.8,154101.0,9724.0,163825.0,140.6,79.26,163.82,Nordeste
2021/22,UNICA,MG,CANA DE ACUCAR,4238,4º LEV,4,846.5,63947.7,4145.2,1217235.0,1712721.0,2929956.0,146.9,75.54,2929.96,Sudeste
2021/22,UNICA,MS,CANA DE ACUCAR,4238,4º LEV,4,648.6,44180.3,1373.8,745093.0,1804472.0,2549565.0,131.5,68.12,2549.56,Centro-Oeste
2021/22,UNICA,MT,CANA DE ACUCAR,4238,4º LEV,4,195.2,15291.8,471.8,384239.0,627903.0,1012142.0,146.2,78.34,1012.14,Centro-Oeste
2021/22,UNICA,PA,CANA DE ACUCAR,4238,4º LEV,4,14.1,1239.8,66.5,43522.0,13963.0,57485.0,137.3,87.93,57.48,Norte
2021/22,UNICA,PB,CANA DE ACUCAR,4238,4º LEV,4,117.2,6081.3,132.5,242541.0,134293.0,376834.0,130.6,51.89,376.83,Nordeste
2021/22,UNICA,PE,CANA DE ACUCAR,4238,4º LEV,4,217.4,12647.7,798.8,134084.0,236208.0,370292.0,116.6,58.18,370.29,Nordeste
2021/22,UNICA,PI,CANA DE ACUCAR,4238,4º LEV,4,20.8,1468.8,100.6,35216.0,17487.0,52703.0,134.4,70.62,52.7,Nordeste
2021/22,UNICA,PR,CANA DE ACUCAR,4238,4º LEV,4,522.9,31961.6,2326.8,556241.6,592838.6,1149080.2,138.5,61.12,1149.08,Sul
2021/22,UNICA,RJ,CANA DE ACUCAR,4238,4º LEV,4,33.7,1833.4,11.1,0.0,125587.0,125587.0,122.2,54.4,125.59,Sudeste
2021/22,UNICA,RN,CANA DE ACUCAR,4238,4º LEV,4,57.5,2538.4,141.9,27336.0,58262.0,85598.0,116.5,44.15,85.6,Nordeste
2021/22,UNICA,SE,CANA DE ACUCAR,4238,4º LEV,4,41.2,2205.1,97.4,19177.0,87672.0,106849.0,128.9,53.52,106.85,Nordeste
2021/22,UNICA,SP,CANA DE ACUCAR,4238,4º LEV,4,4168.7,298494.8,21405.9,5347976.0,6595760.0,11943736.0,144.3,71.6,11943.74,Sudeste
2021/22,UNICA,TO,CANA DE ACUCAR,4238,4º LEV,4,27.2,2309.4,0.0,90846.0,107691.0,198537.0,148.3,84.9,198.54,Norte
2022/23,UNICA,AL,CANA DE ACUCAR,4238,4º LEV,4,304.3,19841.1,1730.9,220924.0,218254.0,439178.0,123.5,65.2,439.18,Nordeste
2022/23,UNICA,AM,CANA DE ACUCAR,4238,4º LEV,4,3.8,218.0,12.1,0.0,5586.0,5586.0,107.0,57.37,5.59,Norte
2022/23,UNICA,BA,CANA DE ACUCAR,4238,4º LEV,4,57.0,4657.7,87.5,132348.0,192318.0,324666.0,134.4,81.71,324.67,Nordeste
2022/23,UNICA,ES,CANA DE ACUCAR,4238,4º LEV,4,47.5,2759.7,127.8,88859.0,87311.0,176170.0,123.7,58.1,176.17,Sudeste
2022/23,UNICA,GO,CANA DE ACUCAR,4238,4º LEV,4,956.8,71035.4,2163.1,1277747.2,3279386.5,4557133.7,136.0,74.24,4557.13,Centro-Oeste
2022/23,UNICA,MA,CANA DE ACUCAR,4238,4º LEV,4,28.3,2158.1,26.1,146111.0,12857.0,158968.0,136.1,76.26,158.97,Nordeste
2022/23,UNICA,MG,CANA DE ACUCAR,4238,4º LEV,4,896.4,70537.9,4501.9,1201283.2,1438226.9,2639510.1,138.7,78.69,2639.51,Sudeste
2022/23,UNICA,MS,CANA DE ACUCAR,4238,4º LEV,4,636.0,44627.1,1500.3,1312029.0,2055565.0,3367594.0,131.3,70.17,3367.59,Centro-Oeste
2022/23,UNICA,MT,CANA DE ACUCAR,4238,4º LEV,4,174.7,15876.6,501.6,394507.0,749076.0,1143583.0,134.1,90.88,1143.58,Centro-Oeste
2022/23,UNICA,PA,CANA DE ACUCAR,4238,4º LEV,4,15.5,1227.0,60.3,40103.0,12324.0,52427.0,130.0,79.16,52.43,Norte
2022/23,UNICA,PB,CANA DE ACUCAR,4238,4º LEV,4,117.6,7302.4,169.2,284221.0,168229.0,452450.0,129.8,62.1,452.45,Nordeste
2022/23,UNICA,PE,CANA DE ACUCAR,4238,4º LEV,4,237.4,14605.0,982.7,215017.9,183269.2,398287.1,129.6,61.52,398.29,Nordeste
2022/23,UNICA,PI,CANA DE ACUCAR,4238,4º LEV,4,21.2,1459.0,101.0,27915.0,17116.0,45031.0,126.3,68.82,45.03,Nordeste
2022/23,UNICA,PR,CANA DE ACUCAR,4238,4º LEV,4,475.4,30953.1,2218.8,596509.0,495298.0,1091807.0,129.2,65.11,1091.81,Sul
2022/23,UNICA,RJ,CANA DE ACUCAR,4238,4º LEV,4,35.5,1578.2,28.7,0.0,109622.0,109622.0,128.1,44.46,109.62,Sudeste
2022/23,UNICA,RN,CANA DE ACUCAR,4238,4º LEV,4,66.1,3662.3,206.9,45777.5,81799.0,127576.5,127.6,55.41,127.58,Nordeste
2022/23,UNICA,SE,CANA DE ACUCAR,4238,4º LEV,4,39.6,2375.2,129.8,17024.0,85477.0,102501.0,123.2,59.98,102.5,Nordeste
2022/23,UNICA,SP,CANA DE ACUCAR,4238,4º LEV,4,4147.6,312879.5,22487.6,5553618.0,6415042.0,11968660.0,133.6,75.44,11968.66,Sudeste
2022/23,UNICA,TO,CANA DE ACUCAR,4238,4º LEV,4,27.9,2378.0,0.0,93175.0,111963.0,205138.0,131.0,85.23,205.14,Norte
2023/24,UNICA,AL,CANA DE ACUCAR,4238,4º LEV,4,298.7,19675.8,1495.3,271869.4,204151.0,476020.4,127.1,65.87,476.02,Nordeste
2023/24,UNICA,AM,CANA DE ACUCAR,4238,4º LEV,4,3.9,304.0,20.4,0.0,7805.0,7805.0,122.5,77.95,7.8,Norte
2023/24,UNICA,BA,CANA DE ACUCAR,4238,4º LEV,4,65.7,5950.5,131.2,175243.9,220506.4,395750.3,134.7,90.57,395.75,Nordeste
2023/24,UNICA,ES,CANA DE ACUCAR,4238,4º LEV,4,48.7,2815.6,150.6,106991.0,8239.0,115230.0,121.9,57.82,115.23,Sudeste
2023/24,UNICA,GO,CANA DE ACUCAR,4238,4º LEV,4,954.8,76600.6,2719.2,1243421.7,3506169.9,4749591.6,137.3,80.23,4749.59,Centro-Oeste
2023/24,UNICA,MA,CANA DE ACUCAR,4238,4º LEV,4,29.3,2078.2,19.5,136583.2,24104.6,160687.8,134.1,70.93,160.69,Nordeste
2023/24,UNICA,MG,CANA DE ACUCAR,4238,4º LEV,4,929.2,81376.5,5481.6,1359436.5,1946597.0,3306033.5,137.2,87.58,3306.03,Sudeste
2023/24,UNICA,MS,CANA DE ACUCAR,4238,4º LEV,4,629.9,50771.7,2209.5,847747.4,2027989.0,2875736.4,133.6,80.6,2875.74,Centro-Oeste
2023/24,UNICA,MT,CANA DE ACUCAR,4238,4º LEV,4,194.1,17663.3,539.3,364060.8,740085.1,1104145.9,135.4,91.0,1104.15,Centro-Oeste
2023/24,UNICA,PA,CANA DE ACUCAR,4238,4º LEV,4,16.9,1276.0,78.8,37172.0,12590.0,49762.0,130.0,75.5,49.76,Norte
2023/24,UNICA,PB,CANA DE ACUCAR,4238,4º LEV,4,125.6,7605.7,228.0,211758.0,151299.0,363057.0,124.4,60.55,363.06,Nordeste
2023/24,UNICA,PE,CANA DE ACUCAR,4238,4º LEV,4,233.7,13810.2,969.5,139090.2,192747.2,331837.4,123.6,59.09,331.84,Nordeste
2023/24,UNICA,PI,CANA DE ACUCAR,4238,4º LEV,4,20.3,1302.0,97.5,32842.0,14319.0,47161.0,131.5,64.14,47.16,Nordeste
2023/24,UNICA,PR,CANA DE ACUCAR,4238,4º LEV,4,524.4,38730.9,2890.6,818432.2,541181.4,1359613.6,128.9,73.86,1359.61,Sul
2023/24,UNICA,RJ,CANA DE ACUCAR,4238,4º LEV,4,29.7,1425.3,33.7,0.0,82005.0,82005.0,118.2,47.99,82.0,Sudeste
2023/24,UNICA,RN,CANA DE ACUCAR,4238,4º LEV,4,66.7,3519.6,218.7,39155.0,97468.6,136623.6,127.5,52.77,136.62,Nordeste
2023/24,UNICA,SE,CANA DE ACUCAR,4238,4º LEV,4,43.1,2535.9,133.5,17400.0,93739.0,111139.0,123.9,58.84,111.14,Nordeste
2023/24,UNICA,SP,CANA DE ACUCAR,4238,4º LEV,4,4091.2,383409.5,28261.9,6141160.2,7683590.0,13824750.2,135.4,93.72,13824.75,Sudeste
2023/24,UNICA,TO,CANA DE ACUCAR,4238,4º LEV,4,28.2,2363.0,0.0,106940.0,85654.0,192594.0,127.0,83.79,192.59,Norte
2024/25,UNICA,AL,CANA DE ACUCAR,4238,4º LEV,4,292.5,18588.2,1648.3,210046.9,237483.7,447530.6,137.6,63.55,447.53,Nordeste
2024/25,UNICA,AM,CANA DE ACUCAR,4238,4º LEV,4,3.8,351.0,21.0,0.0,8104.0,8104.0,122.5,92.37,8.1,Norte
2024/25,UNICA,BA,CANA DE ACUCAR,4238,4º LEV,4,76.9,6528.5,287.2,145700.0,189956.0,335656.0,134.6,84.9,335.66,Nordeste
2024/25,UNICA,ES,CANA DE ACUCAR,4238,4º LEV,4,55.7,3219.9,189.6,93030.0,38074.0,131104.0,120.4,57.81,131.1,Sudeste
2024/25,UNICA,GO,CANA DE ACUCAR,4238,4º LEV,4,969.7,78579.2,2957.3,1053171.8,3823482.7,4876654.5,137.0,81.03,4876.65,Centro-Oeste
2024/25,UNICA,MA,CANA DE ACUCAR,4238,4º LEV,4,29.3,2145.6,28.6,159150.3,20765.7,179916.0,135.0,73.23,179.92,Nordeste
2024/25,UNICA,MG,CANA DE ACUCAR,4238,4º LEV,4,1023.8,86154.7,5550.1,1206553.0,2205995.8,3412548.8,138.5,84.15,3412.55,Sudeste
2024/25,UNICA,MS,CANA DE ACUCAR,4238,4º LEV,4,674.4,49278.0,2699.2,772482.0,2034112.0,2806594.1,133.0,73.07,2806.59,Centro-Oeste
2024/25,UNICA,MT,CANA DE ACUCAR,4238,4º LEV,4,218.0,17962.1,578.4,425677.8,678519.5,1104197.3,135.6,82.39,1104.2,Centro-Oeste
2024/25,UNICA,PA,CANA DE ACUCAR,4238,4º LEV,4,16.7,1312.0,76.7,38247.0,12045.0,50292.0,130.9,78.56,50.29,Norte
2024/25,UNICA,PB,CANA DE ACUCAR,4238,4º LEV,4,127.3,7486.6,308.0,174467.0,157745.0,332212.0,129.5,58.81,332.21,Nordeste
2024/25,UNICA,PE,CANA DE ACUCAR,4238,4º LEV,4,242.0,14334.5,1180.7,138315.3,199337.5,337652.8,133.1,59.23,337.65,Nordeste
2024/25,UNICA,PI,CANA DE ACUCAR,4238,4º LEV,4,21.5,1292.0,111.1,15369.0,15369.0,30738.0,131.0,60.09,30.74,Nordeste
2024/25,UNICA,PR,CANA DE ACUCAR,4238,4º LEV,4,497.1,35719.6,2760.7,554083.5,624697.9,1178781.4,131.7,71.86,1178.78,Sul
2024/25,UNICA,RJ,CANA DE ACUCAR,4238,4º LEV,4,35.0,1751.4,48.0,0.0,100500.0,100500.0,130.5,50.04,100.5,Sudeste
2024/25,UNICA,RN,CANA DE ACUCAR,4238,4º LEV,4,81.6,4092.8,251.4,18878.0,125112.0,143990.0,127.9,50.16,143.99,Nordeste
2024/25,UNICA,SE,CANA DE ACUCAR,4238,4º LEV,4,44.8,2139.3,121.4,15000.0,82500.0,97500.0,129.8,47.75,97.5,Nordeste
2024/25,UNICA,SP,CANA DE ACUCAR,4238,4º LEV,4,4413.2,353547.4,26035.9,5347010.9,8200780.7,13547791.5,139.1,80.11,13547.79,Sudeste
2024/25,UNICA,TO,CANA DE ACUCAR,4238,4º LEV,4,30.5,2576.0,0.0,100000.0,114250.0,214250.0,126.0,84.46,214.25,Norte
2025/26,UNICA,AL,CANA DE ACUCAR,4238,3º LEV,3,293.1,18232.0,1539.5,188717.0,238304.2,427021.2,130.2,62.2,427.02,Nordeste
2025/26,UNICA,AM,CANA DE ACUCAR,4238,3º LEV,3,3.7,325.0,19.9,0.0,7069.0,7069.0,110.0,87.84,7.07,Norte
2025/26,UNICA,BA,CANA DE ACUCAR,4238,3º LEV,3,76.9,6362.9,147.7,136500.0,213685.0,350185.0,126.9,82.74,350.18,Nordeste
2025/26,UNICA,ES,CANA DE ACUCAR,4238,3º LEV,3,56.7,3501.8,198.0,94764.0,29000.0,123764.0,121.0,61.76,123.76,Sudeste
